State,Population density per km2,Rural-Urban Continuum Code,Poverty percentage,Poverty category,Hispanic or Latino (of any race),White,Black or African American,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,ILI density,Residual
AK,3.0579310344827584,7.586206896551724,13.555172413793102,2.2758620689655173,1729.7241379310344,15672.344827586207,777.0344827586207,3507.0344827586205,302.8965517241379,48.13793103448276,1888.8620689655172,0.00041177241379310354,-0.20827586206896548
AL,35.31223880597015,4.641791044776119,20.94925373134329,3.716417910447761,2960.820895522388,47732.522388059704,19118.597014925374,337.14925373134326,21.80597014925373,104.29850746268657,1197.5074626865671,0.0025247910447761188,-0.2070149253731344
AR,21.371599999999994,5.64,20.421333333333326,3.7333333333333334,2843.28,28991.013333333332,6096.68,226.69333333333333,93.05333333333333,57.10666666666667,839.48,0.0019042399999999995,-0.06160000000000004
AZ,21.312,3.8,20.19333333333333,3.6666666666666665,140234.86666666667,252427.86666666667,18409.733333333334,17778.666666666668,800.6,573.0666666666667,9949.6,0.0010791999999999998,-0.37800000000000006
CA,271.53465517241386,3.3448275862068964,15.737931034482767,2.7586206896551726,260445.8620689655,254786.10344827586,37266.53448275862,2376.0862068965516,2384.189655172414,1616.3103448275863,19658.0,0.011374293103448278,-0.06086206896551725
CO,62.59421875,5.796875,13.234375,2.25,18081.25,58312.125,3279.453125,447.25,116.734375,165.265625,2016.453125,0.003349031249999999,0.10640625
CT,280.49125000000004,1.875,9.2,1.375,68989.5,305756.125,43852.5,650.125,83.125,1451.875,9162.75,0.0227,0.85375
DC,4246.49,1.0,17.4,3.0,71829.0,241901.0,315159.0,1140.0,241.0,2194.0,14864.0,0.253,-1.12
DE,235.21666666666667,2.0,12.299999999999999,2.0,28264.333333333332,198303.66666666666,67137.0,962.3333333333334,67.0,610.3333333333334,7201.333333333333,0.010206666666666666,0.8033333333333332
FL,139.88597014925378,3.1940298507462686,17.150746268656714,3.014925373134328,74850.97014925373,166044.0447761194,46707.55223880597,622.4776119402985,152.07462686567163,941.179104477612,5382.044776119403,0.005059999999999999,-0.22925373134328356
GA,78.5238364779874,4.452830188679245,21.19245283018868,3.742138364779874,5977.232704402516,34399.03144654088,19814.553459119496,114.45911949685535,28.962264150943398,180.26415094339623,1214.8427672955975,0.0036415220125786186,-0.22647798742138373
HI,151.384,3.6,11.66,1.6,29076.2,63209.4,4795.4,355.2,26273.2,294.4,55088.0,0.008084000000000001,0.36000000000000004
IA,21.03676767676768,5.888888888888889,11.5,1.8181818181818181,1800.949494949495,27244.969696969696,1052.4646464646464,87.28282828282828,27.343434343434343,28.03030303030303,540.3131313131313,0.004142808080808081,0.7983838383838383
ID,14.34340909090909,5.659090909090909,15.472727272727269,2.6818181818181817,4590.409090909091,31093.590909090908,242.22727272727272,406.8636363636364,44.97727272727273,20.568181818181817,770.4090909090909,0.0013522954545454545,-0.03863636363636365
IL,75.86872549019604,4.598039215686274,13.95588235294117,2.4019607843137254,21196.764705882353,77994.94117647059,17709.78431372549,141.7450980392157,29.205882352941178,186.87254901960785,2227.3137254901962,0.005684941176470586,0.43568627450980385
IN,69.95076086956524,3.9782608695652173,13.176086956521745,2.1956521739130435,4804.0,57397.641304347824,6567.923913043478,132.04347826086956,21.66304347826087,99.77173913043478,1387.25,0.005181869565217393,0.28750000000000003
KS,19.503714285714285,6.523809523809524,12.368571428571423,2.0095238095238095,3189.1428571428573,21145.295238095237,1557.047619047619,183.24761904761905,16.047619047619047,23.21904761904762,778.1714285714286,0.0022850380952380957,0.4656190476190475
KY,46.24383333333334,5.741666666666666,21.30416666666666,3.8333333333333335,1267.2666666666667,31370.608333333334,2903.9333333333334,67.18333333333334,17.075,41.61666666666667,708.3333333333334,0.0027842083333333312,-0.22591666666666682
LA,63.07812499999998,3.984375,21.900000000000006,3.953125,3620.4375,43003.953125,23282.03125,386.90625,18.203125,122.140625,1174.421875,0.004449374999999999,0.14937499999999995
MA,640.9292857142857,2.5714285714285716,11.2,1.8571428571428572,54298.357142857145,353740.5,32405.928571428572,632.6428571428571,122.42857142857143,3466.6428571428573,9987.642857142857,0.04247857142857143,1.0178571428571428
MD,319.0820833333333,2.375,10.858333333333336,1.75,23887.625,129553.125,73089.29166666667,484.75,101.70833333333333,719.9583333333334,6556.0,0.014290416666666667,0.5125
ME,35.193124999999995,5.1875,13.99375,2.3125,1276.6875,77803.6875,1004.0625,477.75,14.5,49.625,1592.75,0.007807125000000001,0.92
MI,73.24939759036144,5.349397590361446,15.665060240963856,2.746987951807229,5838.168674698795,90281.46987951807,16376.0,533.289156626506,28.27710843373494,171.13253012048193,2888.373493975904,0.005734433734939759,0.37566265060240955
MN,52.685862068965506,5.2988505747126435,11.04022988505747,1.793103448275862,3271.8275862068967,50970.9540229885,3695.896551724138,597.6896551724138,18.689655172413794,83.29885057471265,1548.1954022988505,0.003443574712643678,0.01747126436781611
MO,51.24034782608695,5.495652173913044,17.261739130434787,3.0608695652173914,2125.391304347826,42165.80869565217,6070.782608695652,197.9391304347826,50.06086956521739,78.05217391304348,1169.095652173913,0.0034476695652173907,-0.10539130434782609
MS,24.20707317073171,5.841463414634147,24.941463414634136,4.341463414634147,1076.3536585365853,20759.365853658535,13639.731707317073,153.17073170731706,6.975609756097561,28.597560975609756,402.8170731707317,0.002089731707317074,-0.0954878048780488
MT,2.9424999999999994,7.303571428571429,14.589285714285712,2.5,654.0357142857143,15928.392857142857,72.85714285714286,1147.3392857142858,9.589285714285714,5.535714285714286,442.9642857142857,0.00044863571428571436,-0.09053571428571429
NC,79.2637,4.25,18.321999999999996,3.3,9147.92,63974.6,21272.94,1090.8,51.88,217.12,2099.59,0.003957500000000002,-0.18419999999999997
ND,3.574905660377359,7.69811320754717,10.628301886792451,1.6415094339622642,466.8679245283019,12052.32075471698,321.0188679245283,729.4716981132076,5.962264150943396,13.283018867924529,287.07547169811323,0.0005746415094339622,0.046037735849056606
NE,17.185053763440855,7.118279569892473,11.195698924731182,1.7204301075268817,2132.2580645161293,16258.559139784946,938.2795698924731,140.98924731182797,14.56989247311828,22.526881720430108,406.7096774193548,0.0021334387096774193,0.38903225806451613
NH,71.848,4.1,9.27,1.3,4526.6,121111.0,1616.7,185.0,23.4,152.4,2264.9,0.012998,0.914
NJ,884.7923809523812,1.3333333333333333,10.495238095238097,1.7619047619047619,84024.76190476191,239219.33333333334,54111.76190476191,442.0,100.66666666666667,1787.5238095238096,7042.0,0.0434452380952381,-0.09619047619047622
NM,13.987575757575762,5.7272727272727275,21.742424242424242,3.909090909090909,30427.363636363636,24112.969696969696,1129.909090909091,5496.424242424242,28.96969696969697,118.63636363636364,1013.6969696969697,0.001213090909090909,0.08696969696969702
NV,19.049411764705884,5.529411764705882,12.700000000000001,2.0588235294117645,47900.294117647056,85721.88235294117,14275.411764705883,1435.4117647058824,1030.0,378.1764705882353,5697.470588235294,0.0008237000000000001,0.8729411764705882
NY,1221.4320967741935,3.064516129032258,14.016129032258062,2.435483870967742,60100.6129032258,178573.59677419355,45852.72580645161,735.8548387096774,91.70967741935483,1723.1290322580646,5807.580645161291,0.045896774193548394,0.510161290322581
OH,113.0865909090909,3.715909090909091,14.50795454545455,2.477272727272727,4710.113636363636,105036.21590909091,16008.045454545454,193.54545454545453,34.48863636363637,190.39772727272728,3094.965909090909,0.008144897727272728,0.2069318181818179
OK,27.537532467532465,5.623376623376624,17.08571428571429,3.038961038961039,5128.298701298701,33626.103896103894,3621.909090909091,3592.8571428571427,66.98701298701299,50.18181818181818,3484.246753246753,0.0016598701298701295,-0.30324675324675315
OR,45.33111111111112,4.861111111111111,15.908333333333331,2.7777777777777777,14152.972222222223,85555.41666666667,2017.6666666666667,969.5833333333334,403.44444444444446,153.30555555555554,3985.972222222222,0.0025776083333333335,0.1425
PA,182.85179104477612,3.6417910447761193,12.832835820895522,2.1044776119402986,13057.208955223881,147479.62686567163,20272.582089552237,213.65671641791045,33.47761194029851,301.97014925373134,3358.089552238806,0.009541805970149253,0.1062686567164179
RI,443.8379999999999,1.0,10.02,1.4,30782.0,154677.6,11572.0,780.8,139.0,1440.2,4830.6,0.0392,-0.25000000000000006
SC,57.261304347826076,3.630434782608696,20.063043478260873,3.630434782608696,5813.0,67819.04347826086,28722.152173913044,292.69565217391306,60.34782608695652,164.47826086956522,1961.3478260869565,0.0029371956521739126,-0.071304347826087
SD,5.670909090909091,7.484848484848484,16.206060606060596,2.476923076923077,453.04545454545456,10716.39393939394,216.54545454545453,1077.6818181818182,4.984848484848484,8.393939393939394,307.8787878787879,0.0010489090909090908,-0.05227272727272729
TN,55.90642105263159,4.4526315789473685,18.4557894736842,3.3473684210526318,3579.6105263157897,51567.242105263154,11569.663157894736,158.56842105263158,35.34736842105263,86.32631578947368,1293.2736842105264,0.003121936842105265,-0.23105263157894743
TX,44.03625984251967,5.18503937007874,16.335039370078746,2.8661417322834644,42023.26377952756,46281.46850393701,12594.574803149606,259.38188976377955,79.40944881889764,154.14566929133858,1744.1220472440946,0.0018365866141732284,-0.20362204724409447
UT,48.84275862068966,5.275862068965517,12.189655172413795,2.0689655172413794,14114.172413793103,81558.79310344828,1093.5862068965516,972.7586206896551,904.0,160.75862068965517,2138.9310344827586,0.0019028206896551725,-0.03758620689655172
VA,344.20015037593976,3.7218045112781954,14.367669172932333,2.5037593984962405,5635.022556390977,39390.72932330827,11850.233082706767,131.82706766917292,34.65413533834587,154.75187969924812,1824.375939849624,0.021965383458646622,0.2960150375939849
VT,28.06642857142857,5.928571428571429,11.6,1.8571428571428572,798.7857142857143,41600.28571428572,538.1428571428571,132.28571428571428,11.214285714285714,52.57142857142857,795.1428571428571,0.009355714285714287,-0.13999999999999996
WA,53.56589743589744,3.923076923076923,15.066666666666666,2.6153846153846154,22618.153846153848,128243.1282051282,6451.358974358975,2046.7948717948718,1140.128205128205,272.4871794871795,8369.23076923077,0.003455410256410256,0.12153846153846154
WI,64.30624999999999,4.930555555555555,11.944444444444446,1.9583333333333333,5285.972222222223,65487.90277777778,4987.416666666667,638.1527777777778,21.11111111111111,62.263888888888886,1459.6666666666667,0.004978277777777779,0.0708510638297872
WV,37.266000000000005,5.236363636363636,18.574545454545458,3.381818181818182,491.2909090909091,30816.127272727274,1171.1636363636364,57.763636363636365,9.054545454545455,55.67272727272727,544.1090909090909,0.003613927272727273,0.3267272727272726
WY,2.539565217391304,6.6521739130434785,11.22608695652174,1.7391304347826086,2464.391304347826,21375.043478260868,251.7826086956522,520.695652173913,16.217391304347824,9.043478260869565,505.6521739130435,0.0004505652173913043,
